Summary,Issue Type,Status,Priority,Sprint,Assignee,Epic Name,Description,Story Points,Due Date
"E1 - Cadrage & Architecture",Epic,To Do,High,SSW Sprint 1 (Feb 15 - Feb 28),AMOR Houssem,E1 - Cadrage & Architecture,"Define MVP scope and finalize backend microservices architecture",13,2026-02-28
"E2 - Setup Projet & DevOps",Epic,To Do,High,SSW Sprint 1 (Feb 15 - Feb 28),BEN SLIMA Wissem,E2 - Setup Projet & DevOps,"Initialize repos, Docker Compose, CI/CD pipeline",13,2026-02-28
"E3 - Auth & User",Epic,To Do,High,SSW Sprint 1 (Feb 15 - Feb 28),BEN SLIMA Wissem,E3 - Auth & User,"JWT authentication, RBAC, user profile management",13,2026-03-14
"E4 - Wallet & Ledger",Epic,To Do,High,SSW Sprint 1 (Feb 15 - Feb 28),BEN SLIMA Wissem,E4 - Wallet & Ledger,"Wallet creation, balance, immutable ledger, history",8,2026-03-14
"E5 - Paiement Stripe",Epic,To Do,High,SSW Sprint 3 (Mar 15 - Mar 28),BEN SLIMA Wissem,E5 - Paiement Stripe,"Stripe checkout, webhooks, reconciliation",13,2026-03-28
"E6 - Security Service",Epic,To Do,High,SSW Sprint 4 (Mar 29 - Apr 11),AMOR Houssem,E6 - Security Service,"Security event collection, IP blocklist, SQLi detection, audit trail",13,2026-04-11
"E7 - Asynchrone Kafka",Epic,To Do,Medium,SSW Sprint 3 (Mar 15 - Mar 28),BEN SLIMA Wissem,E7 - Asynchrone Kafka,"Outbox pattern, idempotent consumers, dead-letter topics",8,2026-03-28
"E8 - Notification Service",Epic,To Do,Medium,SSW Sprint 3 (Mar 15 - Mar 28),KHEDHIRI Montaha,E8 - Notification Service,"Email notifications for payments, retry logic, delivery journal",5,2026-03-28
"E9 - AI Risk Service",Epic,To Do,High,SSW Sprint 4 (Mar 29 - Apr 11),AMOR Houssem,E9 - AI Risk Service,"Risk scoring (rules + ML + Ollama), policy actions, Kafka async",13,2026-04-11
"E10 - Reporting & Monitoring",Epic,To Do,Medium,SSW Sprint 5 (Apr 12 - Apr 25),KHEDHIRI Montaha,E10 - Reporting & Monitoring,"Payment/wallet/security reports, Grafana dashboards, Prometheus, Loki",8,2026-04-25
"E11 - Tests & Hardening",Epic,To Do,High,SSW Sprint 5 (Apr 12 - Apr 25),BEN SLIMA Wissem,E11 - Tests & Hardening,"Unit/integration/E2E tests, security hardening, CI/CD, production deploy",13,2026-04-25
"Create GitHub repo with branch strategy (main/dev/feature/*)",Story,To Do,High,SSW Sprint 1 (Feb 15 - Feb 28),BEN SLIMA Wissem,E2 - Setup Projet & DevOps,"Create mono-repo or multi-repo structure. Add branch protection rules on main. Convention: main/dev/feature/*",2,2026-02-18
"Add PR templates and review rules",Story,To Do,Medium,SSW Sprint 1 (Feb 15 - Feb 28),BEN SLIMA Wissem,E2 - Setup Projet & DevOps,"Create pull request templates, define code review requirements (min 1 approval)",1,2026-02-18
"Write docker-compose.yml (PostgreSQL + Redis + Kafka + Grafana + Loki)",Story,To Do,High,SSW Sprint 1 (Feb 15 - Feb 28),BEN SLIMA Wissem,E2 - Setup Projet & DevOps,"Docker Compose with containers: PostgreSQL, Redis, Kafka + Zookeeper, Grafana, Loki. Include health checks.",3,2026-02-21
"Add health check endpoints for each service",Story,To Do,Medium,SSW Sprint 1 (Feb 15 - Feb 28),BEN SLIMA Wissem,E2 - Setup Projet & DevOps,"Each .NET microservice exposes GET /health returning service status",1,2026-02-21
"Write README with local setup instructions",Story,To Do,Medium,SSW Sprint 1 (Feb 15 - Feb 28),BEN SLIMA Wissem,E2 - Setup Projet & DevOps,"Document prerequisites (Docker, .NET 8, Node), steps to clone and run, API examples (curl/Postman)",1,2026-02-28
"Create User table (EF Core migration)",Story,To Do,High,SSW Sprint 1 (Feb 15 - Feb 28),BEN SLIMA Wissem,E3 - Auth & User,"User table: id, email, name, password_hash, google_id, mfa_enabled, account_status, created_at, updated_at, last_login_at. Run EF Core migration.",2,2026-02-20
"Create Account table (EF Core migration)",Story,To Do,High,SSW Sprint 1 (Feb 15 - Feb 28),BEN SLIMA Wissem,E4 - Wallet & Ledger,"Account table: id, user_id, account_number, type, currency, balance, created_at, updated_at",1,2026-02-20
"Create Wallet/Ledger table (EF Core migration)",Story,To Do,High,SSW Sprint 1 (Feb 15 - Feb 28),BEN SLIMA Wissem,E4 - Wallet & Ledger,"Ledger table: id, account_id, type (credit/debit), amount, balance_after, description, created_at. Append-only.",1,2026-02-20
"Create LoginEvent table (EF Core migration)",Story,To Do,High,SSW Sprint 1 (Feb 15 - Feb 28),BEN SLIMA Wissem,E3 - Auth & User,"LoginEvent table: id, user_id, ip, user_agent, country, success, failure_reason, timestamp, is_flagged",1,2026-02-20
"Implement POST /api/auth/register",Story,To Do,High,SSW Sprint 1 (Feb 15 - Feb 28),BEN SLIMA Wissem,E3 - Auth & User,"Register endpoint: validate input, hash password (bcrypt 12 rounds), create user, auto-create wallet (balance=0), return JWT + refresh token (httpOnly cookie)",3,2026-02-24
"Implement POST /api/auth/login",Story,To Do,High,SSW Sprint 1 (Feb 15 - Feb 28),BEN SLIMA Wissem,E3 - Auth & User,"Login endpoint: validate credentials, issue JWT (15 min) + refresh token (7 days), log LoginEvent (ip, user_agent, success/fail)",3,2026-02-24
"Implement POST /api/auth/refresh",Story,To Do,High,SSW Sprint 1 (Feb 15 - Feb 28),BEN SLIMA Wissem,E3 - Auth & User,"Refresh token endpoint: validate refresh token, issue new JWT access token",1,2026-02-25
"Implement POST /api/auth/logout",Story,To Do,Medium,SSW Sprint 1 (Feb 15 - Feb 28),BEN SLIMA Wissem,E3 - Auth & User,"Logout endpoint: invalidate refresh token, clear httpOnly cookie",1,2026-02-25
"Implement RBAC middleware (User/Admin roles)",Story,To Do,High,SSW Sprint 1 (Feb 15 - Feb 28),BEN SLIMA Wissem,E3 - Auth & User,"Attribute-based authorization on .NET controllers. Roles: User, Admin. Reject unauthorized with 403.",2,2026-02-26
"Auto-create wallet on user registration",Story,To Do,High,SSW Sprint 1 (Feb 15 - Feb 28),BEN SLIMA Wissem,E4 - Wallet & Ledger,"When register succeeds, create Account + Wallet with balance=0. Link to user_id.",1,2026-02-25
"Implement GET /api/wallet/balance",Story,To Do,High,SSW Sprint 1 (Feb 15 - Feb 28),BEN SLIMA Wissem,E4 - Wallet & Ledger,"Return current wallet balance for authenticated user. Query Account table by user_id.",1,2026-02-26
"Verify full Sprint 1 flow end-to-end",Story,To Do,Medium,SSW Sprint 1 (Feb 15 - Feb 28),KHEDHIRI Montaha,E2 - Setup Projet & DevOps,"Manual test: register -> login -> get balance -> refresh token -> logout. Verify Docker Compose starts cleanly.",1,2026-02-28
"Implement GET /api/users/profile",Story,To Do,High,SSW Sprint 2 (Mar 1 - Mar 14),BEN SLIMA Wissem,E3 - Auth & User,"Return authenticated user profile: name, email, created_at, preferences",1,2026-03-04
"Implement PUT /api/users/profile",Story,To Do,High,SSW Sprint 2 (Mar 1 - Mar 14),BEN SLIMA Wissem,E3 - Auth & User,"Update name, language, notification preferences. Log sensitive changes to audit table.",2,2026-03-04
"Implement GET /api/wallet/history with pagination and filters",Story,To Do,High,SSW Sprint 2 (Mar 1 - Mar 14),BEN SLIMA Wissem,E4 - Wallet & Ledger,"Paginated ledger entries. Query params: startDate, endDate, type (credit/debit), page, size. Sort by timestamp desc.",3,2026-03-06
"Implement GET /api/wallet/history/:id (single entry detail)",Story,To Do,Medium,SSW Sprint 2 (Mar 1 - Mar 14),BEN SLIMA Wissem,E4 - Wallet & Ledger,"Return detailed view of a single ledger entry by ID.",1,2026-03-06
"Angular: Login page",Story,To Do,High,SSW Sprint 2 (Mar 1 - Mar 14),BAHROUNI Seif,E3 - Auth & User,"Email/password login form. Google Sign-In button. Route to dashboard on success.",2,2026-03-06
"Angular: Registration page",Story,To Do,High,SSW Sprint 2 (Mar 1 - Mar 14),BAHROUNI Seif,E3 - Auth & User,"Registration form: name, email, password, confirm password. Validation. Redirect to login on success.",2,2026-03-06
"Angular: Dashboard page",Story,To Do,High,SSW Sprint 2 (Mar 1 - Mar 14),BAHROUNI Seif,E4 - Wallet & Ledger,"Wallet balance card, recent transactions list (last 10), navigation to Profile/History/Settings",3,2026-03-10
"Angular: Profile page (view & edit)",Story,To Do,Medium,SSW Sprint 2 (Mar 1 - Mar 14),BAHROUNI Seif,E3 - Auth & User,"Display user profile fields. Edit form for name and preferences. Save calls PUT /api/users/profile.",2,2026-03-10
"Angular: Wallet History page",Story,To Do,High,SSW Sprint 2 (Mar 1 - Mar 14),BAHROUNI Seif,E4 - Wallet & Ledger,"Table with columns: date, type, amount, balance_after, description. Date/type filters. Pagination controls.",3,2026-03-12
"Angular: Auth guards and JWT HTTP interceptor",Story,To Do,High,SSW Sprint 2 (Mar 1 - Mar 14),BAHROUNI Seif,E3 - Auth & User,"Route guard: redirect to /login if no valid JWT. HTTP interceptor: attach Authorization header, handle 401 -> redirect to login.",2,2026-03-07
"Implement POST /api/auth/google (Google OAuth)",Story,To Do,High,SSW Sprint 2 (Mar 1 - Mar 14),BEN SLIMA Wissem,E3 - Auth & User,"Receive Google OAuth token, verify with Google API, create or link user, issue JWT + refresh token.",3,2026-03-10
"Angular: Google Sign-In button integration",Story,To Do,Medium,SSW Sprint 2 (Mar 1 - Mar 14),BAHROUNI Seif,E3 - Auth & User,"Add Google Sign-In button on login page. Handle OAuth redirect flow. Store JWT on success.",1,2026-03-10
"Unit tests: profile CRUD and wallet history",Story,To Do,Medium,SSW Sprint 2 (Mar 1 - Mar 14),KHEDHIRI Montaha,E3 - Auth & User,"Unit tests for GET/PUT profile, GET wallet history with filters. Mock DB layer.",2,2026-03-14
"Sprint 2 E2E verification",Story,To Do,Medium,SSW Sprint 2 (Mar 1 - Mar 14),KHEDHIRI Montaha,E2 - Setup Projet & DevOps,"Manual E2E: register -> login -> view dashboard -> edit profile -> view history -> Google OAuth login",1,2026-03-14
"Implement POST /api/payment/checkout-session",Story,To Do,High,SSW Sprint 3 (Mar 15 - Mar 28),BEN SLIMA Wissem,E5 - Paiement Stripe,"Input: serviceType, amount. Create Stripe CheckoutSession. Save transaction with status=PENDING. Return Stripe session URL.",3,2026-03-19
"Implement POST /api/payment/webhook (Stripe)",Story,To Do,High,SSW Sprint 3 (Mar 15 - Mar 28),BEN SLIMA Wissem,E5 - Paiement Stripe,"Verify Stripe signature. On completed: set SUCCESS, credit wallet via ledger. On expired: set FAILED. Write outbox event.",3,2026-03-20
"Create outbox_events table and Kafka publisher worker",Story,To Do,High,SSW Sprint 3 (Mar 15 - Mar 28),BEN SLIMA Wissem,E7 - Asynchrone Kafka,"outbox_events table: id, topic, payload, status (PENDING/SENT/FAILED), created_at. Background worker polls PENDING, publishes to Kafka, marks SENT. Retry with backoff.",3,2026-03-20
"Implement idempotent Kafka consumers",Story,To Do,High,SSW Sprint 3 (Mar 15 - Mar 28),BEN SLIMA Wissem,E7 - Asynchrone Kafka,"Check event_id before processing. Retry policy on failure. Dead-letter topic (DLT) for permanently failed messages.",2,2026-03-22
"Implement Notification Service (Kafka consumer + email)",Story,To Do,High,SSW Sprint 3 (Mar 15 - Mar 28),KHEDHIRI Montaha,E8 - Notification Service,"Consume payment.completed and payment.failed topics. Send email using templates. Record notification status. Retry with exponential backoff (max 3).",3,2026-03-23
"Create email templates (payment success + failure)",Story,To Do,Medium,SSW Sprint 3 (Mar 15 - Mar 28),KHEDHIRI Montaha,E8 - Notification Service,"HTML email templates: success (amount, date, tx ID), failure (reason, retry suggestion). Use SMTP for sending.",2,2026-03-22
"Implement idempotency key for checkout-session",Story,To Do,High,SSW Sprint 3 (Mar 15 - Mar 28),BEN SLIMA Wissem,E5 - Paiement Stripe,"Generate idempotency key per payment request. Prevent duplicate Stripe sessions for same payment intent.",1,2026-03-24
"Implement daily reconciliation job",Story,To Do,Medium,SSW Sprint 3 (Mar 15 - Mar 28),BEN SLIMA Wissem,E5 - Paiement Stripe,"Scheduled job: compare local transactions vs Stripe. Flag mismatches for admin review.",2,2026-03-26
"Angular: Payment page (Stripe checkout flow)",Story,To Do,High,SSW Sprint 3 (Mar 15 - Mar 28),BAHROUNI Seif,E5 - Paiement Stripe,"Payment page: service selector, amount input, Pay button. Redirect to Stripe Checkout. Success/cancel return pages.",3,2026-03-24
"Angular: show payment transactions in dashboard + notification preferences",Story,To Do,Medium,SSW Sprint 3 (Mar 15 - Mar 28),BAHROUNI Seif,E5 - Paiement Stripe,"Update dashboard to include payment transactions in wallet history. Add notification preferences toggle in profile settings.",2,2026-03-26
"Sprint 3 testing: checkout + webhook + notification flow",Story,To Do,Medium,SSW Sprint 3 (Mar 15 - Mar 28),KHEDHIRI Montaha,E5 - Paiement Stripe,"Unit tests: checkout creation, webhook signature. Integration: session -> webhook -> ledger -> notification. Idempotency: double submit -> single charge.",2,2026-03-28
"Security Service: capture login events (ip, user_agent, country, correlation_id)",Story,To Do,High,SSW Sprint 4 (Mar 29 - Apr 11),AMOR Houssem,E6 - Security Service,"Middleware captures ip, user_agent, GeoIP country on every login. Store in security_events table. Add correlation_id header propagation.",3,2026-04-01
"Security Service: Redis rate-limiting",Story,To Do,High,SSW Sprint 4 (Mar 29 - Apr 11),BEN SLIMA Wissem,E6 - Security Service,"5 failed logins/min per IP -> temp block. 100 req/min per IP -> 429 response. Redis counters with TTL.",2,2026-04-02
"Security Service: IP Blocklist CRUD",Story,To Do,High,SSW Sprint 4 (Mar 29 - Apr 11),BEN SLIMA Wissem,E6 - Security Service,"BlockList table + endpoints: GET /api/admin/blocklist, POST (add), DELETE (remove). Middleware checks IP against Redis-cached blocklist.",3,2026-04-03
"Security Service: SQL Injection detection (rule-based)",Story,To Do,High,SSW Sprint 4 (Mar 29 - Apr 11),AMOR Houssem,E6 - Security Service,"Pattern matching: '; DROP, UNION SELECT, OR 1=1, comment patterns. Log as AttackEvent. Auto-block IP on repeated attempts.",2,2026-04-04
"Security Service: Immutable audit trail (hash chain)",Story,To Do,High,SSW Sprint 4 (Mar 29 - Apr 11),BEN SLIMA Wissem,E6 - Security Service,"audit_log table with prev_hash/curr_hash. curr_hash = SHA256(prev_hash + action + timestamp + data). GET /api/admin/security/timeline endpoint.",3,2026-04-05
"AI Risk Service: Kafka consumer for security.event.created",Story,To Do,High,SSW Sprint 4 (Mar 29 - Apr 11),AMOR Houssem,E9 - AI Risk Service,"Consume security events from Kafka. Route to scoring pipeline.",2,2026-04-05
"AI Risk Service: Rule-based risk scoring",Story,To Do,High,SSW Sprint 4 (Mar 29 - Apr 11),AMOR Houssem,E9 - AI Risk Service,"Score calculation: failed login +20, VPN +15, unusual hour +10, new device +15, high-risk country +15, impossible travel +40",2,2026-04-06
"AI Risk Service: ML anomaly detection (Isolation Forest)",Story,To Do,High,SSW Sprint 4 (Mar 29 - Apr 11),AMOR Houssem,E9 - AI Risk Service,"Train Isolation Forest on historical login events. Features: login_hour, country_code, device_hash, attempts_count. Output anomaly score.",3,2026-04-08
"AI Risk Service: Ollama integration (Mistral 7B threat analysis)",Story,To Do,High,SSW Sprint 4 (Mar 29 - Apr 11),AMOR Houssem,E9 - AI Risk Service,"Call Ollama (Mistral 7B) to analyze event context, generate human-readable threat description. Include in risk.score.computed event.",3,2026-04-09
"AI Risk Service: Publish risk.score.computed + action policies",Story,To Do,High,SSW Sprint 4 (Mar 29 - Apr 11),AMOR Houssem,E9 - AI Risk Service,"Publish to Kafka: score, recommendation. Policies: 0-20 ALLOW, 21-50 CHALLENGE, 51-80 TEMP_BLOCK, >80 BLOCK. Fallback to rules-only if AI down.",2,2026-04-09
"Security Service: consume risk scores and apply actions",Story,To Do,High,SSW Sprint 4 (Mar 29 - Apr 11),BEN SLIMA Wissem,E6 - Security Service,"Consume risk.score.computed. Update blocklist, lock account, alert admin on critical (>80).",2,2026-04-10
"Angular: Admin security overview page",Story,To Do,High,SSW Sprint 4 (Mar 29 - Apr 11),BAHROUNI Seif,E6 - Security Service,"Attacks today count + trend. Attack timeline table (IP, type, risk score, action). Blocked IPs list with unblock button.",3,2026-04-08
"Angular: Admin user management page",Story,To Do,High,SSW Sprint 4 (Mar 29 - Apr 11),BAHROUNI Seif,E6 - Security Service,"User list with search/filter. Lock/unlock account buttons. View user login events.",2,2026-04-09
"Angular: Admin IP management page",Story,To Do,Medium,SSW Sprint 4 (Mar 29 - Apr 11),BAHROUNI Seif,E6 - Security Service,"Current blocklist display. Add/remove IP forms. Show IP reputation (score, country, VPN).",2,2026-04-10
"Setup Prometheus metrics scraping for all .NET services",Story,To Do,High,SSW Sprint 4 (Mar 29 - Apr 11),BEN SLIMA Wissem,E10 - Reporting & Monitoring,"Expose /metrics on each service. Prometheus config to scrape. Metrics: request_count, duration, errors, login success/fail, kafka messages.",2,2026-04-09
"Configure Grafana dashboards (security + payments + system)",Story,To Do,High,SSW Sprint 4 (Mar 29 - Apr 11),BEN SLIMA Wissem,E10 - Reporting & Monitoring,"Security: attacks/day, blocked IPs, failed logins, SQLi. Payments: tx/day, success rate. System: CPU, RAM, latency, errors.",3,2026-04-10
"Configure Loki log aggregation + Grafana alert rules",Story,To Do,Medium,SSW Sprint 4 (Mar 29 - Apr 11),BEN SLIMA Wissem,E10 - Reporting & Monitoring,"Loki collects logs from all services. Alert rules in Grafana: notify admin email on critical thresholds.",2,2026-04-11
"Sprint 4 testing: security + AI scoring flow",Story,To Do,Medium,SSW Sprint 4 (Mar 29 - Apr 11),KHEDHIRI Montaha,E6 - Security Service,"Unit tests: risk scoring, blocklist ops, hash chain. Integration: login -> event -> Kafka -> AI score -> block. Verify Grafana dashboards.",2,2026-04-11
"Implement Reporting Service (payment/wallet/security aggregates)",Story,To Do,High,SSW Sprint 5 (Apr 12 - Apr 25),KHEDHIRI Montaha,E10 - Reporting & Monitoring,"Payment aggregates: daily/weekly/monthly totals. Wallet KPIs: volume, active wallets, avg balance. Security summary: attacks by type, top IPs.",3,2026-04-16
"Implement GET /api/admin/reports/daily",Story,To Do,High,SSW Sprint 5 (Apr 12 - Apr 25),KHEDHIRI Montaha,E10 - Reporting & Monitoring,"Auto-generated daily report endpoint returning payment, wallet, and security summaries.",1,2026-04-16
"Implement POST /api/admin/reports/custom",Story,To Do,Medium,SSW Sprint 5 (Apr 12 - Apr 25),KHEDHIRI Montaha,E10 - Reporting & Monitoring,"Custom report generation: date range, report type (payments/security/wallet). Return aggregated data.",2,2026-04-17
"Angular: Admin reporting page with charts and export",Story,To Do,High,SSW Sprint 5 (Apr 12 - Apr 25),BAHROUNI Seif,E10 - Reporting & Monitoring,"Date range picker, report type selector. Charts: daily transactions, attack trends, wallet growth. Export as CSV/PDF.",3,2026-04-19
"Unit tests for all critical services",Story,To Do,High,SSW Sprint 5 (Apr 12 - Apr 25),KHEDHIRI Montaha,E11 - Tests & Hardening,"Auth (register/login/refresh/RBAC), Wallet (balance/ledger), Payment (checkout/webhook/idempotency), Security (blocklist/hash chain), AI Risk (scoring).",3,2026-04-20
"Integration tests (Stripe + Kafka + Security flows)",Story,To Do,High,SSW Sprint 5 (Apr 12 - Apr 25),KHEDHIRI Montaha,E11 - Tests & Hardening,"Stripe webhook flow, Kafka outbox flow, Security event -> AI score -> block flow. Mock external services.",3,2026-04-21
"E2E tests (user flow + admin flow)",Story,To Do,High,SSW Sprint 5 (Apr 12 - Apr 25),KHEDHIRI Montaha,E11 - Tests & Hardening,"User: register->login->pay->balance->history. Admin: login->attacks->block IP->reports. Load test: concurrent logins and payments.",3,2026-04-22
"Security hardening: CORS, headers, secrets, PII audit",Story,To Do,High,SSW Sprint 5 (Apr 12 - Apr 25),BEN SLIMA Wissem,E11 - Tests & Hardening,"CORS strict whitelist. HSTS, X-Content-Type-Options, X-Frame-Options, CSP headers. Secrets in env vars only. Verify no PII in logs. Input validation. SQL parameterization.",2,2026-04-22
"CI/CD pipeline via GitHub Actions",Story,To Do,High,SSW Sprint 5 (Apr 12 - Apr 25),BEN SLIMA Wissem,E11 - Tests & Hardening,"On push to dev: unit tests + lint + build Docker. On merge to main: full tests + build + push images + deploy + smoke tests. Secrets in GitHub Secrets.",3,2026-04-23
"Production deployment (Kubernetes/Docker Compose)",Story,To Do,High,SSW Sprint 5 (Apr 12 - Apr 25),BEN SLIMA Wissem,E11 - Tests & Hardening,"K8s manifests: .NET services (2+ replicas), PostgreSQL, Redis, Kafka, Prometheus+Grafana+Loki. SSL/TLS. Health/readiness probes. DB backup schedule.",3,2026-04-24
"API documentation (Swagger/OpenAPI) + architecture diagram",Story,To Do,Medium,SSW Sprint 5 (Apr 12 - Apr 25),KHEDHIRI Montaha,E11 - Tests & Hardening,"Generate Swagger from .NET controllers. Create architecture diagram (services, Kafka topics, data flow). Deployment guide. Admin user guide.",2,2026-04-25
